Date,Open,High,Low,Close,Volume
2017-01-03,42.78,43.45,42.1,43.08,1929634
2017-01-04,43.2,43.93,43.2,43.5,2147527
2017-01-05,42.65,42.71,40.81,42.1,3695929
2017-01-06,42.18,42.76,42.12,42.47,2562292
2017-01-09,42.44,42.56,41.85,42.04,2137763
2017-01-10,42.04,43.88,42.04,43.38,2952261
2017-01-11,43.72,43.72,42.75,42.87,2088388
2017-01-12,42.67,43.2,42.51,42.65,1332907
2017-01-13,42.69,43.18,42.29,42.39,1359360
2017-01-17,42.33,44.25,42.26,43.56,2292082
2017-01-18,43.85,43.85,42.31,43.23,2159175
2017-01-19,43.15,43.47,42.02,42.03,1935263
2017-01-20,42.23,42.61,41.65,42.46,2378286
2017-01-23,42.21,42.96,42.01,42.56,1418846
2017-01-24,42.7,43.43,42.36,43.4,2413286
2017-01-25,43.68,43.73,42.77,42.8,1675694
2017-01-26,42.98,43.07,41.91,42.06,1899963
2017-01-27,42.12,42.31,41.4,41.53,1220459
2017-01-30,41.58,41.88,41.19,41.79,1242430
2017-01-31,41.55,42.82,41.21,42.81,2602157
2017-02-01,42.18,42.32,41.2,41.34,2426123
2017-02-02,41.12,41.56,40.88,40.89,2194460
2017-02-03,40.85,41.55,40.43,41.02,1724944
2017-02-06,41.05,41.36,40.75,41.28,2871288
2017-02-07,36.09,36.82,34.92,36.82,21509871
2017-02-08,36.76,38.66,36.42,37.87,9807631
2017-02-09,38.01,38.87,37.91,38.27,3734061
2017-02-10,38.48,38.91,37.96,38.38,3958591
2017-02-13,38.29,38.45,37.57,37.6,3586957
2017-02-14,37.64,38.3,37.63,38.1,3075716
2017-02-15,37.83,38.32,37.83,38.05,2624559
2017-02-16,38.6,39.22,37.8,38.21,2931558
2017-02-17,37.95,38.44,37.81,38.3,2465465
2017-02-21,38.3,39.64,38.05,38.31,2722794
2017-02-22,38.29,38.42,37.71,37.92,1939365
2017-02-23,38.16,38.44,37.21,37.28,3656016
2017-02-24,37.37,37.78,37.02,37.3,2638044
2017-02-27,37.45,37.99,37.35,37.6,4222158
2017-02-28,37.5,37.57,36.37,36.5,3577850
2017-03-01,36.87,37.06,36.44,36.9,7014188
2017-03-02,36.93,37.12,36.71,37.03,3022586
2017-03-03,37.25,37.44,36.18,36.41,1735443
2017-03-06,36.43,36.8,36.26,36.51,2032651
2017-03-07,36.39,36.58,35.91,36.02,2150361
2017-03-08,36.23,36.59,36.04,36.4,2521656
2017-03-09,36.5,36.65,36.03,36.46,3561796
2017-03-10,36.65,37.09,36.58,36.85,2959031
2017-03-13,36.93,37.29,36.8,36.92,2811277
2017-03-14,36.72,37.81,36.72,37.21,2615660
2017-03-15,37.17,37.83,37.03,37.61,2220067
2017-03-16,37.54,38.16,37.42,37.74,2648088
2017-03-17,37.72,37.99,37.39,37.83,2739053
2017-03-20,37.82,37.94,37.13,37.39,1596069
2017-03-21,37.4,37.55,36.36,36.74,2449590
2017-03-22,36.54,36.63,36.1,36.58,1482150
2017-03-23,36.97,37.61,36.94,37.23,1752518
2017-03-24,37.23,37.67,37.02,37.56,1163302
2017-03-27,37.3,38.17,37.27,37.8,1756920
2017-03-28,37.79,38.49,37.68,38.35,1739629
2017-03-29,38.14,38.59,38.05,38.28,1746791
2017-03-30,37.98,38.46,37.98,38.13,1684498
2017-03-31,38.24,38.35,38.05,38.11,1368922
2017-04-03,38.16,38.25,37.74,38.04,1439242
2017-04-04,37.65,37.82,36.61,36.82,2430396
2017-04-05,36.89,37.48,36.74,36.84,1668821
2017-04-06,36.98,37.58,36.91,37.07,1606424
2017-04-07,37.0,37.6,36.91,37.55,1818146
2017-04-10,37.7,37.91,36.96,37.29,1526800
2017-04-11,37.35,37.82,37.19,37.76,1139828
2017-04-12,37.88,37.95,37.56,37.78,1152248
2017-04-13,37.72,37.92,37.33,37.56,1246049
2017-04-17,37.61,37.65,37.04,37.32,1127092
2017-04-18,37.05,37.06,36.65,36.9,1623215
2017-04-19,36.81,37.13,36.38,36.87,1879424
2017-04-20,37.1,37.95,37.08,37.58,1917650
2017-04-21,37.56,37.56,36.58,36.76,1493227
2017-04-24,37.16,37.22,36.52,36.65,1754376
2017-04-25,36.82,37.65,36.81,37.47,3079930
2017-04-26,37.48,38.46,37.33,38.05,2153207
2017-04-27,38.09,38.3,37.63,38.01,1349962
2017-04-28,37.98,38.05,37.23,37.33,1388568
2017-05-01,37.43,37.45,36.61,36.72,1273754
2017-05-02,37.11,38.5,37.0,37.9,2134538
2017-05-03,37.85,38.14,37.01,37.18,1288953
2017-05-04,37.36,37.59,37.02,37.51,984275
2017-05-05,37.59,38.14,37.4,38.1,1833086
2017-05-08,38.31,38.54,38.14,38.24,1762855
2017-05-09,38.29,38.96,38.16,38.65,1332751
2017-05-10,38.35,38.67,37.53,38.23,2634074
2017-05-11,38.08,38.09,36.66,37.18,2420355
2017-05-12,36.95,37.13,36.41,36.74,2262610
2017-05-15,36.75,36.92,36.34,36.47,2313766
2017-05-16,36.4,36.42,35.62,35.95,2211494
2017-05-17,35.73,36.28,35.64,35.82,1769881
2017-05-18,35.92,36.29,35.38,35.45,2163740
2017-05-19,35.66,36.66,35.66,36.41,1922612
2017-05-22,36.42,37.07,36.42,36.87,1656516
2017-05-23,36.98,37.6,36.79,36.97,1766706
2017-05-24,36.7,36.91,36.4,36.75,1364390
2017-05-25,37.16,37.4,36.47,36.63,1772655
2017-05-26,36.5,36.79,35.8,36.76,1547501
2017-05-30,36.81,37.1,36.02,36.27,3656570
2017-05-31,33.16,33.85,32.38,33.18,15919497
2017-06-01,33.22,33.57,32.5,33.08,5213784
2017-06-02,33.08,33.32,32.8,33.05,3902891
2017-06-05,32.94,34.82,32.9,34.49,5491883
2017-06-06,34.34,35.28,34.23,34.62,4358395
2017-06-07,34.8,35.01,34.12,34.21,3184993
2017-06-08,34.5,35.2,34.38,35.09,5294482
2017-06-09,35.05,36.22,35.01,35.7,4845063
2017-06-12,35.7,36.41,35.32,35.4,2799098
2017-06-13,35.37,35.4,34.66,34.77,2357040
2017-06-14,34.85,34.9,34.11,34.56,1945547
2017-06-15,34.37,34.87,34.15,34.68,2331066
2017-06-16,34.55,34.61,33.83,34.6,3263755
2017-06-19,34.61,35.02,34.47,34.94,1574876
2017-06-20,35.02,35.02,34.16,34.54,1694873
2017-06-21,34.68,34.85,34.24,34.52,1137891
2017-06-22,34.56,35.06,34.37,34.83,994253
2017-06-23,34.97,35.51,34.7,35.34,4602844
2017-06-26,35.38,35.93,35.38,35.66,1227289
2017-06-27,35.61,35.89,35.45,35.75,1566432
2017-06-28,35.95,36.4,35.83,35.98,1474810
2017-06-29,36.1,36.16,35.56,35.7,1342345
2017-06-30,36.15,36.43,35.84,36.25,1793960
2017-07-03,36.23,36.68,36.02,36.25,1018569
2017-07-05,36.22,36.44,36.16,36.41,1890461
2017-07-06,36.34,36.35,35.46,35.49,1794774
2017-07-07,35.69,36.24,35.42,36.04,1250188
2017-07-10,35.8,36.02,35.4,35.89,1683333
2017-07-11,35.12,35.2,32.81,33.25,7040754
2017-07-12,33.24,33.83,33.22,33.29,2128082
2017-07-13,33.43,33.8,33.3,33.46,1578368
