Date,Open,High,Low,Close,Volume
2017-01-03,96.42,96.54,94.42,95.63,648032
2017-01-04,96.19,97.12,95.95,97.12,542945
2017-01-05,96.38,96.73,95.72,96.67,414556
2017-01-06,96.66,96.79,96.09,96.16,400212
2017-01-09,96.13,96.49,95.56,96.05,607713
2017-01-10,96.1,97.7,95.68,97.28,470447
2017-01-11,97.12,97.59,96.74,97.48,468914
2017-01-12,97.31,98.21,96.49,98.09,547022
2017-01-13,98.15,99.04,98.15,98.57,504117
2017-01-17,98.22,98.98,96.94,97.56,698817
2017-01-18,97.43,99.58,97.16,99.29,860968
2017-01-19,99.27,100.4,98.33,99.11,774123
2017-01-20,99.34,100.03,98.96,99.74,665003
2017-01-23,97.82,98.19,95.67,96.25,1251744
2017-01-24,96.51,97.36,96.07,96.92,915694
2017-01-25,97.4,98.17,97.2,97.81,638211
2017-01-26,97.44,98.04,96.21,97.14,837562
2017-01-27,97.55,97.61,96.32,96.67,655244
2017-01-30,96.79,97.11,95.74,97.08,609822
2017-01-31,96.74,97.43,95.83,96.81,680594
2017-02-01,96.89,97.86,95.8,96.34,607340
2017-02-02,96.36,97.06,96.07,96.62,366601
2017-02-03,96.75,97.51,96.53,97.14,476428
2017-02-06,96.97,97.81,96.81,97.21,463151
2017-02-07,97.3,97.75,96.53,96.97,372891
2017-02-08,96.99,99.07,96.89,99.04,866152
2017-02-09,99.02,100.1,98.91,99.67,532167
2017-02-10,99.74,99.92,98.94,99.78,483387
2017-02-13,100.0,100.25,99.06,99.89,523424
2017-02-14,98.96,99.97,98.89,99.66,493530
2017-02-15,99.6,100.12,99.4,100.12,487911
2017-02-16,100.23,100.62,98.52,99.23,707776
2017-02-17,99.05,100.67,98.96,100.67,902326
2017-02-21,100.6,100.9,96.35,97.67,1522874
2017-02-22,96.98,97.42,95.87,95.99,904877
2017-02-23,95.99,95.99,94.88,95.0,1009361
2017-02-24,94.69,96.28,94.6,96.25,672814
2017-02-27,96.28,96.71,95.59,96.18,666432
2017-02-28,95.83,96.05,95.28,95.71,760142
2017-03-01,96.54,97.26,96.23,96.57,709490
2017-03-02,96.5,96.52,95.66,95.87,606840
2017-03-03,95.88,95.99,94.37,94.7,784029
2017-03-06,94.36,94.69,94.0,94.18,662079
2017-03-07,94.03,94.16,93.44,93.52,544706
2017-03-08,92.81,93.59,92.77,93.15,557036
2017-03-09,93.26,93.36,92.81,92.95,769596
2017-03-10,93.3,93.6,92.77,93.21,651082
2017-03-13,93.21,94.22,92.87,94.14,818187
2017-03-14,93.95,94.36,93.67,94.06,487155
2017-03-15,94.2,94.52,93.58,93.96,828823
2017-03-16,94.4,94.73,93.89,94.27,410968
2017-03-17,94.58,95.0,93.99,94.9,1293997
2017-03-20,94.95,94.95,94.12,94.33,460571
2017-03-21,94.65,94.65,93.0,93.3,691086
2017-03-22,93.36,93.55,92.7,93.47,522926
2017-03-23,93.36,93.82,92.71,93.45,511852
2017-03-24,93.51,93.76,92.66,92.84,530749
2017-03-27,92.31,92.84,92.06,92.76,456348
2017-03-28,92.36,93.43,92.1,93.1,516630
2017-03-29,92.97,93.47,92.29,92.67,893761
2017-03-30,92.61,93.71,92.04,92.34,506424
2017-03-31,92.29,93.28,91.93,92.41,685362
2017-04-03,92.5,92.5,89.23,90.34,1301207
2017-04-04,90.05,90.66,89.76,90.03,910740
2017-04-05,90.21,91.27,89.93,90.23,810950
2017-04-06,90.33,90.65,89.66,90.32,585492
2017-04-07,90.08,90.61,89.83,89.86,413270
2017-04-10,90.0,91.05,89.73,89.79,690427
2017-04-11,89.68,90.61,89.35,90.61,693828
2017-04-12,90.15,90.23,89.18,89.42,712477
2017-04-13,89.29,90.05,88.88,88.94,615108
2017-04-17,89.12,90.13,89.12,90.1,811287
2017-04-18,89.81,90.72,89.31,90.14,1084008
2017-04-19,92.89,94.99,91.52,91.91,1909153
2017-04-20,92.15,93.18,92.11,92.9,984480
2017-04-21,92.9,93.52,92.6,93.11,723131
2017-04-24,93.97,93.97,92.66,93.6,938166
2017-04-25,94.11,94.59,93.02,93.29,636835
2017-04-26,93.58,93.89,92.91,93.13,665858
2017-04-27,93.35,93.89,92.89,93.33,745383
2017-04-28,93.35,93.35,91.18,92.02,1551845
2017-05-01,92.2,92.2,90.93,91.34,772337
2017-05-02,91.41,92.08,91.26,92.07,662959
2017-05-03,92.14,92.21,91.44,92.06,724484
2017-05-04,92.05,92.56,91.68,92.25,816204
2017-05-05,92.41,92.73,91.83,92.73,592634
2017-05-08,92.75,92.92,92.21,92.54,480040
2017-05-09,92.65,92.99,92.22,92.83,445813
2017-05-10,92.83,92.83,92.03,92.79,633458
2017-05-11,92.31,92.31,90.7,91.85,577211
2017-05-12,91.6,91.76,91.01,91.44,516035
2017-05-15,91.52,92.87,91.33,91.86,857632
2017-05-16,92.09,92.09,90.83,91.54,519267
2017-05-17,91.16,91.88,90.69,91.13,806930
2017-05-18,91.12,92.33,90.92,91.65,845426
2017-05-19,91.72,92.48,90.67,92.12,2530984
2017-05-22,92.14,92.86,92.08,92.46,687142
2017-05-23,91.4,91.65,89.55,90.65,1380038
2017-05-24,90.27,90.84,89.83,90.17,907536
2017-05-25,90.49,91.52,90.03,91.36,611712
2017-05-26,91.5,93.89,91.3,93.28,1143798
2017-05-30,93.06,93.58,91.97,92.54,1033100
2017-05-31,92.54,92.71,92.04,92.62,1189080
2017-06-01,93.04,94.35,92.52,94.11,681975
2017-06-02,94.29,94.85,93.96,94.28,802777
2017-06-05,94.13,94.39,93.56,93.78,606783
2017-06-06,93.44,93.44,91.7,92.12,714803
2017-06-07,90.97,92.1,90.97,91.84,647285
2017-06-08,91.85,91.89,90.78,90.89,610323
2017-06-09,90.95,91.71,90.55,91.61,692462
2017-06-12,91.61,93.42,91.61,92.97,566109
2017-06-13,92.98,93.95,92.34,93.86,579165
