Date,Open,High,Low,Close,Volume
2017-01-03,79.52,79.62,78.27,79.17,2187463
2017-01-04,79.39,81.11,79.12,80.63,1852328
2017-01-05,79.98,80.46,78.73,78.96,3294988
2017-01-06,79.11,79.52,78.37,79.01,2017719
2017-01-09,79.19,79.43,78.05,78.64,2332321
2017-01-10,78.49,79.23,77.94,78.85,2329293
2017-01-11,78.8,79.42,78.17,79.02,2619652
2017-01-12,78.85,79.76,78.25,79.6,2035720
2017-01-13,79.14,81.26,79.13,80.35,2818382
2017-01-17,80.0,80.59,79.47,80.23,2074084
2017-01-18,80.51,80.82,79.82,80.53,1926801
2017-01-19,80.4,81.34,80.05,80.38,1746183
2017-01-20,80.49,80.52,78.89,80.12,2642945
2017-01-23,80.05,80.17,79.26,79.88,2672218
2017-01-24,79.88,80.8,79.41,80.51,2004411
2017-01-25,80.85,81.59,80.52,81.48,2883627
2017-01-26,81.56,81.87,81.1,81.7,1855130
2017-01-27,82.0,83.25,81.86,83.16,2607202
2017-01-30,82.96,84.03,82.75,83.84,4067328
2017-01-31,83.82,84.09,82.89,83.43,6583360
2017-02-01,83.43,84.25,81.45,83.0,7608012
2017-02-02,82.68,82.98,81.38,82.51,4079976
2017-02-03,82.51,82.66,80.97,81.28,4300790
2017-02-06,80.83,81.78,80.4,81.52,2351072
2017-02-07,81.81,82.4,81.55,82.21,2944017
2017-02-08,81.94,82.9,81.27,81.48,2738904
2017-02-09,82.21,83.4,81.49,83.26,3193067
2017-02-10,84.74,86.66,84.13,86.17,6561736
2017-02-13,86.31,87.49,85.7,86.32,4435770
2017-02-14,85.8,86.45,85.22,86.06,3046929
2017-02-15,85.92,88.04,85.7,87.95,3293453
2017-02-16,87.69,88.28,87.2,87.85,2739096
2017-02-17,87.76,87.86,86.95,87.3,1773693
2017-02-21,87.35,88.02,87.1,87.54,1871787
2017-02-22,87.38,87.62,86.96,87.38,1751399
2017-02-23,87.56,87.56,85.76,86.65,3113293
2017-02-24,85.96,86.55,85.23,86.54,3026736
2017-02-27,86.55,87.25,86.1,87.0,1519361
2017-02-28,87.05,87.49,86.33,86.5,2421068
2017-03-01,86.93,88.14,86.09,87.82,2090733
2017-03-02,87.9,88.25,86.46,87.01,1709488
2017-03-03,86.95,87.29,86.19,87.24,1190567
2017-03-06,87.19,87.52,86.74,87.14,1882327
2017-03-07,87.3,88.85,87.1,88.3,3016947
2017-03-08,88.52,89.36,88.2,89.0,2579065
2017-03-09,89.32,89.79,88.73,89.03,3127072
2017-03-10,89.59,89.88,88.92,89.81,2005278
2017-03-13,89.83,90.81,89.35,90.73,2753324
2017-03-14,90.52,91.18,90.33,90.9,1967162
2017-03-15,90.99,91.55,90.12,91.51,3197323
2017-03-16,91.6,91.82,89.52,90.2,5153060
2017-03-17,90.92,90.98,88.55,89.59,6446578
2017-03-20,88.82,89.35,87.9,89.16,4278095
2017-03-21,89.22,90.09,88.23,88.41,3278632
2017-03-22,88.43,88.86,88.25,88.74,2326651
2017-03-23,88.59,89.35,88.24,88.61,1910037
2017-03-24,88.85,90.06,88.61,89.35,1878075
2017-03-27,88.59,89.24,88.06,89.02,2109195
2017-03-28,89.0,90.02,88.55,89.74,2084421
2017-03-29,89.52,89.97,88.95,89.78,1771994
2017-03-30,89.5,90.3,89.23,90.26,2073893
2017-03-31,90.1,90.17,88.85,89.52,1737741
2017-04-03,89.9,89.9,88.79,89.11,1522269
2017-04-04,88.58,89.32,88.51,89.28,1870372
2017-04-05,89.47,89.61,88.09,88.4,2673891
2017-04-06,88.47,88.77,87.94,88.56,1319611
2017-04-07,88.4,88.83,88.07,88.73,1740835
2017-04-10,88.55,89.09,88.33,88.74,1423994
2017-04-11,88.78,89.69,88.37,89.68,1763935
2017-04-12,89.95,90.02,89.15,89.95,1909089
2017-04-13,90.09,90.2,88.85,89.02,2966230
2017-04-17,89.27,90.14,88.82,89.21,2160062
2017-04-18,89.12,89.44,88.72,89.2,1393082
2017-04-19,89.54,90.23,89.14,89.65,2021396
2017-04-20,90.1,91.48,89.79,91.21,2024287
2017-04-21,91.27,91.96,91.1,91.94,1831778
2017-04-24,92.86,93.06,92.51,92.81,2020879
2017-04-25,93.39,93.4,92.69,92.99,2041393
2017-04-26,93.21,93.73,92.31,93.5,1543015
2017-04-27,94.0,94.99,93.71,94.24,1516449
2017-04-28,94.45,94.91,93.82,94.82,1938028
2017-05-01,95.21,95.42,94.71,94.79,2314846
2017-05-02,94.69,95.32,94.12,94.25,2332609
2017-05-03,95.45,95.45,93.62,94.11,2872320
2017-05-04,94.11,95.08,93.92,94.76,4549472
2017-05-05,95.39,95.87,94.59,95.74,5175934
2017-05-08,95.92,96.49,95.45,95.73,5318594
2017-05-09,95.86,96.34,95.25,96.01,6184879
2017-05-10,105.97,110.61,104.76,108.16,11166163
2017-05-11,107.55,109.32,106.83,108.58,5750574
2017-05-12,108.19,109.25,107.46,109.09,3169436
2017-05-15,108.99,111.26,108.85,110.9,3279795
2017-05-16,111.23,112.16,110.44,111.76,2963366
2017-05-17,108.71,109.38,105.0,105.24,7457905
2017-05-18,104.71,107.65,104.34,106.93,3174477
2017-05-19,107.41,107.95,106.33,107.64,2282384
2017-05-22,107.87,108.4,107.42,108.39,1493181
2017-05-23,110.09,111.85,108.18,109.01,3032723
2017-05-24,108.78,112.54,108.39,112.31,4495603
2017-05-25,112.51,114.16,112.51,113.83,3419752
2017-05-26,113.5,113.58,111.79,112.13,2212544
2017-05-30,112.62,112.92,111.64,112.85,2360111
2017-05-31,112.86,113.48,111.93,113.33,3430023
2017-06-01,113.96,114.94,113.18,113.87,2232724
2017-06-02,113.85,114.54,113.2,114.52,1872617
2017-06-05,114.68,115.13,114.19,114.69,1879801
2017-06-06,114.54,115.39,113.59,113.69,2508384
2017-06-07,114.84,115.54,114.23,115.37,2480079
2017-06-08,116.04,116.04,113.24,114.29,3293888
2017-06-09,114.84,115.36,107.03,110.46,5738175
2017-06-12,109.3,111.18,105.54,108.9,5836896
2017-06-13,110.33,110.96,108.08,109.98,2739976
