Date,Open,High,Low,Close,Volume
2017-01-03,48.24,48.54,47.3,47.62,3968123
2017-01-04,47.85,49.2,47.75,48.92,3781096
2017-01-05,45.12,45.68,44.02,45.56,7409950
2017-01-06,45.42,46.15,45.15,45.47,3088175
2017-01-09,45.42,45.6,45.01,45.05,2270033
2017-01-10,45.1,45.98,44.89,45.67,2325001
2017-01-11,45.83,45.92,44.46,44.9,3031351
2017-01-12,44.69,45.44,44.39,45.03,1903268
2017-01-13,45.02,45.14,44.09,44.2,2338751
2017-01-17,43.65,45.04,43.51,44.38,2022978
2017-01-18,45.22,45.22,42.9,44.31,3708381
2017-01-19,44.39,44.57,42.86,42.93,3588438
2017-01-20,42.97,44.77,42.97,44.64,4064118
2017-01-23,44.23,45.0,43.99,44.41,3116448
2017-01-24,44.44,45.09,44.32,44.99,1689499
2017-01-25,45.19,45.5,44.8,45.01,1663331
2017-01-26,45.04,45.64,44.27,44.32,2705788
2017-01-27,44.45,44.45,42.32,42.83,3299444
2017-01-30,42.76,43.79,42.62,43.7,2222980
2017-01-31,43.02,44.34,42.4,44.22,2829750
2017-02-01,44.55,44.55,43.37,43.82,2354159
2017-02-02,42.81,44.14,42.5,43.51,3914598
2017-02-03,43.44,46.09,43.03,43.9,4679377
2017-02-06,43.74,44.19,42.58,42.88,3015994
2017-02-07,43.18,43.73,42.65,42.78,1972553
2017-02-08,42.32,44.55,42.32,44.53,5710281
2017-02-09,44.59,46.39,44.57,45.55,5420358
2017-02-10,45.78,46.18,44.2,45.0,3121745
2017-02-13,45.38,45.47,43.72,44.36,3018864
2017-02-14,44.31,45.8,44.31,45.44,2551459
2017-02-15,45.66,46.47,45.44,46.12,4031884
2017-02-16,46.05,46.19,44.05,44.18,3284530
2017-02-17,44.31,45.97,44.14,45.69,4296132
2017-02-21,46.12,46.65,45.65,45.87,3306965
2017-02-22,45.98,46.13,44.77,45.35,2459548
2017-02-23,44.86,45.05,43.66,43.94,5364950
2017-02-24,44.97,47.03,44.0,46.46,12959563
2017-02-27,46.32,48.16,46.13,47.61,7315532
2017-02-28,47.1,47.54,46.08,46.66,4704488
2017-03-01,46.87,47.05,44.7,45.6,4672916
2017-03-02,45.74,46.7,45.39,46.65,4169364
2017-03-03,46.74,46.9,45.76,46.35,2270376
2017-03-06,45.97,46.06,44.62,45.5,3979250
2017-03-07,45.0,45.55,43.98,44.03,3750994
2017-03-08,44.14,45.53,44.14,45.15,2671294
2017-03-09,45.05,45.39,44.41,44.67,2098329
2017-03-10,44.87,45.1,44.28,44.45,2788888
2017-03-13,44.4,44.52,43.42,43.6,2349970
2017-03-14,43.64,43.89,43.37,43.78,1832484
2017-03-15,43.6,44.54,43.44,44.34,1776801
2017-03-16,44.07,44.83,43.68,44.31,2343529
2017-03-17,44.55,44.66,43.66,43.92,3366959
2017-03-20,43.98,44.08,42.45,42.58,2651226
2017-03-21,42.59,42.75,40.86,41.81,3212631
2017-03-22,41.87,42.05,40.7,41.96,2650313
2017-03-23,42.39,42.77,41.5,41.61,2713891
2017-03-24,41.55,42.13,41.18,41.95,2107905
2017-03-27,41.52,42.66,41.39,42.46,2645687
2017-03-28,42.12,43.6,42.12,43.58,2897090
2017-03-29,43.5,45.99,43.31,45.92,5004312
2017-03-30,45.59,46.5,45.41,46.45,2180573
2017-03-31,46.4,46.85,46.29,46.57,2645203
2017-04-03,46.57,47.03,45.55,46.48,3085864
2017-04-04,46.09,46.09,43.82,43.92,3867528
2017-04-05,44.02,44.79,43.35,43.44,2378807
